ID,Star,Sum.Polarity,Avg.Polarity,Num.Verb,Num.Adjective,Num.Noun
chb8***,4,1,0.33,0,2,1
min4***,8,2,2.0,0,1,0
yhaeu***,10,5,1.67,1,2,0
jh2***,10,2,2.0,0,1,0
Qpw***,10,5,1.67,0,2,1
Yumyum***,10,-2,-1.0,0,2,0
spike0***,6,-1,-1.0,0,0,1
hjkwo***,10,8,2.0,0,4,0
zz***,10,2,2.0,0,1,0
zz***,10,2,2.0,0,1,0
zz***,10,1,1.0,0,1,0
hongr***,4,-1,-1.0,0,1,0
hongr***,8,1,1.0,0,1,0
assa***,10,2,2.0,0,0,1
xkfk1***,8,2,2.0,0,1,0
xkfk1***,8,2,2.0,0,1,0
xkfk1***,8,2,2.0,0,1,0
maxia***,10,2,2.0,0,0,1
dbwls6***,8,6,2.0,1,2,0
dbwls6***,8,6,2.0,1,2,0
ekdnlrj***,10,2,2.0,0,1,0
gpdudqo1***,8,2,2.0,0,1,0
aszz1***,10,4,2.0,0,2,0
ssz***,10,2,2.0,0,0,1
pi***,10,1,1.0,0,0,1
pi***,10,4,2.0,0,2,0
whdkfka30***,6,0,0.0,0,5,0
hkkim7***,8,7,1.17,2,2,2
qha0***,8,3,1.5,0,2,0
qha0***,6,-2,-0.67,0,3,0
dlduswl10***,6,-1,-1.0,0,0,1
dlduswl10***,6,2,2.0,0,1,0
sanha0***,10,-1,-1.0,0,0,1
Dwh***,8,3,1.5,0,1,1
joar1***,6,2,2.0,0,1,0
andrew1***,8,-3,-1.0,1,2,0
***,2,-2,-0.29,0,5,2
wjdvlfr***,6,-1,-1.0,0,1,0
poop***,4,-1,-1.0,0,1,0
sunmin***,8,1,0.5,0,2,0
sunmin***,8,-2,-1.0,0,1,1
buchin***,6,1,0.5,0,2,0
arang***,10,2,2.0,0,1,0
gmfrs***,10,2,2.0,0,1,0
qkqhqntjd***,10,-1,-1.0,1,0,0
l1***,8,2,2.0,0,1,0
ehdrmfl0***,10,2,2.0,0,0,1
amy***,10,2,2.0,0,1,0
dkssud7***,10,2,2.0,0,1,0
ma1t***,6,-1,-0.33,1,2,0
sunny5***,10,2,2.0,0,1,0
boneyo0***,10,2,2.0,0,1,0
cej6***,8,2,2.0,0,1,0
killin***,4,1,1.0,0,1,0
ryuel0***,10,2,2.0,0,1,0
kis3***,10,2,2.0,0,1,0
ryn***,10,2,2.0,0,1,0
rnldu***,10,2,2.0,0,1,0
vldmlgi***,10,2,2.0,0,1,0
sey100***,6,1,0.5,0,2,0
heewon6***,10,6,2.0,0,3,0
j98322***,10,2,2.0,0,1,0
eunazzan***,10,2,2.0,0,0,1
chc***,6,-2,-1.0,0,2,0
tlsgy9***,6,-1,-0.5,0,1,1
8402j***,2,2,1.0,1,0,1
dlrlwjrdl***,10,-1,-1.0,0,0,1
mi1youn***,10,4,0.67,0,6,0
chuchum***,6,1,0.5,0,1,1
xian***,2,-1,-0.5,1,0,1
momo***,8,-1,-0.25,0,3,1
star***,10,2,2.0,0,1,0
star***,10,2,2.0,0,1,0
star***,10,2,2.0,0,1,0
star***,10,2,2.0,0,1,0
mi1youn***,10,-2,-2.0,0,1,0
xian***,2,1,1.0,0,0,1
elkbl***,8,2,2.0,0,1,0
dkfl***,10,2,2.0,0,1,0
lit***,10,2,2.0,0,0,1
jrsil***,2,-4,-1.0,0,1,3
sunll***,10,2,2.0,0,0,1
ahjong94***,10,1,1.0,0,0,1
rosa***,8,2,2.0,0,1,0
love071***,10,-1,-1.0,0,1,0
sagehams***,10,-2,-2.0,0,1,0
wdt2***,10,2,2.0,0,1,0
fan***,6,5,1.67,0,2,1
tpdls***,10,5,1.67,0,3,0
ruphin***,6,2,2.0,0,1,0
bo1***,6,0,0.0,1,2,1
shs***,8,3,1.0,0,3,0
rraauu***,10,1,1.0,0,1,0
ong***,4,-1,-1.0,0,1,0
08r***,10,3,1.5,0,2,0
parkki***,8,2,0.5,0,3,1
lhdh***,6,-3,-1.5,0,2,0
rkdls0***,8,-3,-0.6,1,0,4
ysbin***,10,3,1.0,1,2,0
adonis***,10,4,2.0,0,2,0
kiiwii***,10,2,2.0,0,1,0
fg1***,10,2,2.0,0,1,0
jg456***,10,2,2.0,0,1,0
dorudor***,8,2,2.0,0,1,0
jg456***,10,2,2.0,0,1,0
ekdns3***,10,4,2.0,0,1,1
emmaj***,10,2,2.0,0,1,0
shinsm0***,10,1,0.5,0,2,0
minu***,10,2,2.0,0,1,0
tvfx***,10,3,1.5,0,1,1
kmhh1***,8,2,2.0,0,1,0
yangjh***,10,2,2.0,0,1,0
99sod***,10,4,2.0,0,2,0
khmin0***,10,2,2.0,0,1,0
thebes***,8,-2,-1.0,0,2,0
e4j***,10,2,2.0,0,0,1
tkrhk***,6,-3,-1.5,0,2,0
yangjh***,10,1,1.0,0,1,0
minu***,10,6,2.0,0,3,0
dang***,10,2,2.0,0,1,0
hevel***,10,0,0.0,1,0,2
rladbsk0***,10,2,2.0,0,1,0
hevel***,10,0,0.0,1,0,2
esse0***,10,0,0.0,1,0,2
jinx***,2,1,1.0,1,0,0
12150***,6,-3,-1.5,0,2,0
dl890***,10,2,2.0,0,1,0
dlwpdm***,10,0,0.0,0,4,0
dmavy***,8,-1,-1.0,0,1,0
jangy***,8,2,2.0,0,1,0
dool***,10,-2,-2.0,0,1,0
s2u***,10,4,2.0,0,2,0
ma1t***,4,-8,-1.14,1,6,0
sojinchen_hu***,8,2,2.0,0,1,0
zhdkffk0***,8,2,2.0,0,1,0
sungnas***,10,6,1.2,0,5,0
jihyun0***,8,2,2.0,0,1,0
dohu1***,4,0,0.0,0,10,2
aki0***,8,4,2.0,0,0,2
c1ap***,10,2,2.0,0,0,1
yigm8***,8,4,2.0,1,1,0
pi***,10,2,2.0,0,0,1
dal***,4,-1,-0.33,0,3,0
damk***,10,4,1.0,1,2,1
ging34***,10,13,0.65,1,14,5
